IDName,Sample_related,NewPop,OrderPop,Full.Population.Name,Year.Collected,Clone.ID.2018,Tide,TideCode,Collector,Longitude,Latitude,X,Y,aagx030,aag004,m49,aagx012,aag002,atg002,aagx051,aagx071,m13,m16,aagx030.1,aagx030.2,aag004.1,aag004.2,m49.1,m49.2,aagx012.1,aagx012.2,aag002.1,aag002.2,atg002.1,atg002.2,aagx051.1,aagx051.2,aagx071.1,aagx071.2,m13.1,m13.2,m16.1,m16.2
TC_01,A2_2A01,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53986667,39.52273333,195707.7737,4380773.649,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_03,A2_2A03,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53953333,39.52273333,195736.4351,4380772.521,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_06,A2_2A06,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53935,39.52288333,195752.8537,4380788.554,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_07,A2_2A07,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53928333,39.52288333,195758.5862,4380788.328,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_09,A2_2A09,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53931667,39.52296667,195756.0837,4380797.694,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_10,A2_2A10,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53905,39.52286667,195778.5756,4380785.689,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_11,A2_2A11,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53901667,39.52285,195781.3686,4380783.726,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_12,A2_2A12,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53886667,39.52283333,195794.1931,4380781.367,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_13,A2_2A13,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.5388,39.52281667,195799.8527,4380779.292,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_14,A2_2A14,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53868333,39.52283333,195809.9571,4380780.747,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_15,A2_2A15,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53871667,39.52291667,195807.4545,4380790.112,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_16,A2_2A16,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53863333,39.52308333,195815.3485,4380808.333,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_17,A2_2A17,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53866667,39.523,195812.1177,4380799.194,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_19,A2_2A19,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53855,39.52313333,195822.7318,4380813.602,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_22,A2_2A22,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53823333,39.52323333,195850.3966,4380823.633,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
TC_23,A2_2A23,TC,1,Town Creek,2011,199,NonTidal,AA,"Neel,Marsden,Tumas,Lloyd,Widemeyer",-78.53813333,39.52316667,195858.7035,4380815.894,159:159,376:391,168:180,202:202,319:325,151:157,184:190,224:233,263:271,187:187,159,159,376,391,168,180,202,202,319,325,151,157,184,190,224,233,263,271,187,187
