NewPop,OrderPop,Tide,Number_of_Stems,MLG_199,MLG_266,MLG_230,MLG_346,MLG_207,MLG_358,MLG_205,MLG_219,MLG_278,Fr__199,Fr__266,Fr__230,Fr__346,Fr__207,Fr__358,Fr__205,Fr__219,Fr__278
AC,16,NonTidal,18,8,2,0,0,0,0,0,0,0,0.4444444444444444,0.1111111111111111,0,0,0,0,0,0,0
BWK1,17,NonTidal,18,6,8,0,0,0,0,0,0,0,0.3333333333333333,0.4444444444444444,0,0,0,0,0,0,0
BWK2,18,NonTidal,28,1,19,1,1,0,0,0,0,0,0.03571428571428571,0.6785714285714286,0.03571428571428571,0.03571428571428571,0,0,0,0,0
EF,23,NonTidal,30,5,5,0,0,1,1,0,0,0,0.16666666666666666,0.16666666666666666,0,0,0.03333333333333333,0.03333333333333333,0,0,0
FMC1,3,NonTidal,30,21,0,0,0,0,0,2,0,0,0.7,0,0,0,0,0,0.06666666666666667,0,0
FMC2,4,NonTidal,15,11,0,0,0,0,0,0,3,0,0.7333333333333333,0,0,0,0,0,0,0.2,0
HCK1,7,NonTidal,30,23,0,0,0,0,0,1,0,0,0.7666666666666667,0,0,0,0,0,0.03333333333333333,0,0
HCK2,8,NonTidal,25,13,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0
LC,9,NonTidal,30,22,0,4,0,1,0,0,0,0,0.7333333333333333,0,0.13333333333333333,0,0.03333333333333333,0,0,0,0
MF,10,NonTidal,30,12,1,0,0,0,0,0,0,0,0.4,0.03333333333333333,0,0,0,0,0,0,0
OJ,13,NonTidal,15,11,1,1,0,0,0,0,0,0,0.7333333333333333,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0
PL,24,NonTidal,29,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
POR1,19,NonTidal,32,2,20,0,0,0,1,0,0,0,0.0625,0.625,0,0,0,0.03125,0,0,0
POR2,20,NonTidal,30,2,23,0,0,0,0,0,0,0,0.06666666666666667,0.7666666666666667,0,0,0,0,0,0,0
PR,2,NonTidal,21,17,0,0,0,0,0,1,0,0,0.8095238095238095,0,0,0,0,0,0.047619047619047616,0,0
SHC,5,NonTidal,14,12,0,0,0,0,0,0,0,0,0.8571428571428571,0,0,0,0,0,0,0,0
SJR,6,NonTidal,29,19,0,1,0,0,0,2,0,0,0.6551724137931034,0,0.034482758620689655,0,0,0,0.06896551724137931,0,0
SL,15,NonTidal,25,1,1,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0
TC,1,NonTidal,29,22,0,0,0,1,0,1,0,0,0.7586206896551724,0,0,0,0.034482758620689655,0,0.034482758620689655,0,0
TL,14,NonTidal,5,1,1,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0
WF1,22,NonTidal,20,5,6,0,1,0,0,0,0,0,0.25,0.3,0,0.05,0,0,0,0,0
WF2,21,NonTidal,28,6,11,0,0,0,0,0,1,1,0.21428571428571427,0.39285714285714285,0,0,0,0,0,0.03571428571428571,0.03571428571428571
WSP1,11,NonTidal,21,2,6,0,0,0,0,0,0,1,0.09523809523809523,0.2857142857142857,0,0,0,0,0,0,0.047619047619047616
WSP2,12,NonTidal,31,11,3,0,0,1,0,0,0,0,0.3548387096774194,0.0967741935483871,0,0,0.03225806451612903,0,0,0,0
