ToPop,FromPop,WaterDist,ToOrderPop,ToTide,FromOrderPop,FromTide
AL,AC,181.2,33,Tidal,16,Nontidal
BB_A,AC,158.7,29,Tidal,16,Nontidal
BB_B,AC,157.6,30,Tidal,16,Nontidal
BWK1,AC,24.9,17,Nontidal,16,Nontidal
BWK2,AC,24.6,18,Nontidal,16,Nontidal
EF,AC,61.9,23,Nontidal,16,Nontidal
FMC1,AC,123,3,Nontidal,16,Nontidal
FMC2,AC,122.3,4,Nontidal,16,Nontidal
GM,AC,147.9,28,Tidal,16,Nontidal
GWP,AC,131.9,25,Tidal,16,Nontidal
HCK1,AC,95.3,7,Nontidal,16,Nontidal
HCK2,AC,94.8,8,Nontidal,16,Nontidal
LC,AC,81.8,9,Nontidal,16,Nontidal
LSP,AC,160.2,31,Tidal,16,Nontidal
MF,AC,71.4,10,Nontidal,16,Nontidal
MWC,AC,160.7,32,Tidal,16,Nontidal
NC,AC,203.6,34,Tidal,16,Nontidal
OJ,AC,34.4,13,Nontidal,16,Nontidal
PB,AC,146.3,27,Tidal,16,Nontidal
PL,AC,80.8,24,Nontidal,16,Nontidal
POR1,AC,34.2,19,Nontidal,16,Nontidal
POR2,AC,34.6,20,Nontidal,16,Nontidal
PR,AC,159.3,2,Nontidal,16,Nontidal
PTR_A,AC,210.6,35,Tidal,16,Nontidal
PTR_B,AC,209.2,36,Tidal,16,Nontidal
SHC,AC,114.6,5,Nontidal,16,Nontidal
SJR,AC,104.9,6,Nontidal,16,Nontidal
SL,AC,11.9,15,Nontidal,16,Nontidal
SWP,AC,140.1,26,Tidal,16,Nontidal
TC,AC,168.1,1,Nontidal,16,Nontidal
TL,AC,18.5,14,Nontidal,16,Nontidal
WF1,AC,54.2,22,Nontidal,16,Nontidal
WF2,AC,54.1,21,Nontidal,16,Nontidal
WSP1,AC,49.6,11,Nontidal,16,Nontidal
WSP2,AC,49.4,12,Nontidal,16,Nontidal
AC,AL,181.2,16,Nontidal,33,Tidal
BB_A,AL,33.3,29,Tidal,33,Tidal
BB_B,AL,32.3,30,Tidal,33,Tidal
BWK1,AL,156.3,17,Nontidal,33,Tidal
BWK2,AL,156.6,18,Nontidal,33,Tidal
EF,AL,119.4,23,Nontidal,33,Tidal
FMC1,AL,304.2,3,Nontidal,33,Tidal
FMC2,AL,303.5,4,Nontidal,33,Tidal
GM,AL,33.6,28,Tidal,33,Tidal
GWP,AL,49.2,25,Tidal,33,Tidal
HCK1,AL,276.5,7,Nontidal,33,Tidal
HCK2,AL,276,8,Nontidal,33,Tidal
LC,AL,263,9,Nontidal,33,Tidal
LSP,AL,24.1,31,Tidal,33,Tidal
MF,AL,252.5,10,Nontidal,33,Tidal
MWC,AL,26.9,32,Tidal,33,Tidal
NC,AL,29.1,34,Tidal,33,Tidal
OJ,AL,215.6,13,Nontidal,33,Tidal
PB,AL,40.6,27,Tidal,33,Tidal
PL,AL,100.7,24,Nontidal,33,Tidal
POR1,AL,147,19,Nontidal,33,Tidal
POR2,AL,146.6,20,Nontidal,33,Tidal
PR,AL,340.5,2,Nontidal,33,Tidal
PTR_A,AL,36.2,35,Tidal,33,Tidal
PTR_B,AL,34.7,36,Tidal,33,Tidal
SHC,AL,295.7,5,Nontidal,33,Tidal
SJR,AL,286.1,6,Nontidal,33,Tidal
SL,AL,193.1,15,Nontidal,33,Tidal
SWP,AL,41.1,26,Tidal,33,Tidal
TC,AL,349.2,1,Nontidal,33,Tidal
TL,AL,199.7,14,Nontidal,33,Tidal
WF1,AL,127,22,Nontidal,33,Tidal
WF2,AL,127.1,21,Nontidal,33,Tidal
WSP1,AL,230.7,11,Nontidal,33,Tidal
WSP2,AL,230.5,12,Nontidal,33,Tidal
AC,BB_A,158.7,16,Nontidal,29,Tidal
AL,BB_A,33.3,33,Tidal,29,Tidal
BB_B,BB_A,1.1,30,Tidal,29,Tidal
BWK1,BB_A,133.8,17,Nontidal,29,Tidal
BWK2,BB_A,134.1,18,Nontidal,29,Tidal
EF,BB_A,96.9,23,Nontidal,29,Tidal
FMC1,BB_A,281.7,3,Nontidal,29,Tidal
FMC2,BB_A,281,4,Nontidal,29,Tidal
GM,BB_A,10.9,28,Tidal,29,Tidal
GWP,BB_A,26.7,25,Tidal,29,Tidal
HCK1,BB_A,254,7,Nontidal,29,Tidal
HCK2,BB_A,253.5,8,Nontidal,29,Tidal
LC,BB_A,240.5,9,Nontidal,29,Tidal
LSP,BB_A,9.6,31,Tidal,29,Tidal
MF,BB_A,230.1,10,Nontidal,29,Tidal
MWC,BB_A,13.6,32,Tidal,29,Tidal
NC,BB_A,55.7,34,Tidal,29,Tidal
OJ,BB_A,193.1,13,Nontidal,29,Tidal
PB,BB_A,18.2,27,Tidal,29,Tidal
PL,BB_A,78.2,24,Nontidal,29,Tidal
POR1,BB_A,124.5,19,Nontidal,29,Tidal
POR2,BB_A,124.1,20,Nontidal,29,Tidal
PR,BB_A,318,2,Nontidal,29,Tidal
PTR_A,BB_A,62.7,35,Tidal,29,Tidal
PTR_B,BB_A,61.3,36,Tidal,29,Tidal
SHC,BB_A,273.2,5,Nontidal,29,Tidal
SJR,BB_A,263.6,6,Nontidal,29,Tidal
SL,BB_A,170.6,15,Nontidal,29,Tidal
SWP,BB_A,18.6,26,Tidal,29,Tidal
TC,BB_A,326.7,1,Nontidal,29,Tidal
TL,BB_A,177.2,14,Nontidal,29,Tidal
WF1,BB_A,104.5,22,Nontidal,29,Tidal
WF2,BB_A,104.6,21,Nontidal,29,Tidal
WSP1,BB_A,208.2,11,Nontidal,29,Tidal
WSP2,BB_A,208.1,12,Nontidal,29,Tidal
AC,BB_B,157.6,16,Nontidal,30,Tidal
AL,BB_B,32.3,33,Tidal,30,Tidal
BB_A,BB_B,1.1,29,Tidal,30,Tidal
BWK1,BB_B,132.7,17,Nontidal,30,Tidal
BWK2,BB_B,133,18,Nontidal,30,Tidal
EF,BB_B,95.9,23,Nontidal,30,Tidal
FMC1,BB_B,280.6,3,Nontidal,30,Tidal
FMC2,BB_B,279.9,4,Nontidal,30,Tidal
GM,BB_B,9.8,28,Tidal,30,Tidal
GWP,BB_B,25.7,25,Tidal,30,Tidal
HCK1,BB_B,252.9,7,Nontidal,30,Tidal
HCK2,BB_B,252.4,8,Nontidal,30,Tidal
LC,BB_B,239.5,9,Nontidal,30,Tidal
LSP,BB_B,8.6,31,Tidal,30,Tidal
MF,BB_B,229,10,Nontidal,30,Tidal
MWC,BB_B,12.5,32,Tidal,30,Tidal
NC,BB_B,54.7,34,Tidal,30,Tidal
OJ,BB_B,192,13,Nontidal,30,Tidal
PB,BB_B,17.1,27,Tidal,30,Tidal
PL,BB_B,77.2,24,Nontidal,30,Tidal
POR1,BB_B,123.4,19,Nontidal,30,Tidal
POR2,BB_B,123,20,Nontidal,30,Tidal
PR,BB_B,316.9,2,Nontidal,30,Tidal
PTR_A,BB_B,61.7,35,Tidal,30,Tidal
PTR_B,BB_B,60.3,36,Tidal,30,Tidal
SHC,BB_B,272.2,5,Nontidal,30,Tidal
SJR,BB_B,262.5,6,Nontidal,30,Tidal
SL,BB_B,169.5,15,Nontidal,30,Tidal
SWP,BB_B,17.5,26,Tidal,30,Tidal
TC,BB_B,325.7,1,Nontidal,30,Tidal
TL,BB_B,176.2,14,Nontidal,30,Tidal
WF1,BB_B,103.5,22,Nontidal,30,Tidal
WF2,BB_B,103.5,21,Nontidal,30,Tidal
WSP1,BB_B,207.2,11,Nontidal,30,Tidal
WSP2,BB_B,207,12,Nontidal,30,Tidal
AC,BWK1,24.9,16,Nontidal,17,Nontidal
AL,BWK1,156.3,33,Tidal,17,Nontidal
BB_A,BWK1,133.8,29,Tidal,17,Nontidal
BB_B,BWK1,132.7,30,Tidal,17,Nontidal
BWK2,BWK1,0.3,18,Nontidal,17,Nontidal
EF,BWK1,37.1,23,Nontidal,17,Nontidal
FMC1,BWK1,147.9,3,Nontidal,17,Nontidal
FMC2,BWK1,147.2,4,Nontidal,17,Nontidal
GM,BWK1,123,28,Tidal,17,Nontidal
GWP,BWK1,107.1,25,Tidal,17,Nontidal
HCK1,BWK1,120.2,7,Nontidal,17,Nontidal
HCK2,BWK1,119.7,8,Nontidal,17,Nontidal
LC,BWK1,106.7,9,Nontidal,17,Nontidal
LSP,BWK1,135.3,31,Tidal,17,Nontidal
MF,BWK1,96.3,10,Nontidal,17,Nontidal
MWC,BWK1,135.9,32,Tidal,17,Nontidal
NC,BWK1,178.7,34,Tidal,17,Nontidal
OJ,BWK1,59.3,13,Nontidal,17,Nontidal
PB,BWK1,121.4,27,Tidal,17,Nontidal
PL,BWK1,56,24,Nontidal,17,Nontidal
POR1,BWK1,9.3,19,Nontidal,17,Nontidal
