FromPop,FromTide,FromOrderPop,n,MinMinDistance,MeanMinDistance,MedMinDistance,MaxMinDistance,MeanMeanDistance,MinMaxDistance,MeanMaxDistance,MedMaxDistance,MaxMaxDistance
TC,NonTidal,1,29,1.9,9.3,9.4,22.2,72.6,107.4,149,144.3,192.8
PR,NonTidal,2,21,4.3,9.4,10.2,14.7,76.3,102.7,150.8,151.9,194.7
FMC1,NonTidal,3,30,1.9,13.5,10.2,91.1,162.2,226.2,344.2,353.2,438.9
FMC2,NonTidal,4,15,6,8.5,8.2,12.5,50.7,66.6,100.4,98,129.2
SHC,NonTidal,5,14,0,11.6,13.7,19.8,79.8,108.4,157.1,154.6,203
SJR,NonTidal,6,29,1.9,12.6,14.2,38.6,196.3,317.1,448.6,435.6,594.3
HCK1,NonTidal,7,30,2.3,8.8,7.8,25.8,83.9,111.5,155.5,153.6,192.7
HCK2,NonTidal,8,25,0,11.1,12,56.1,146.9,237.7,327.1,314.8,444.6
LC,NonTidal,9,30,4.7,13.9,13,57.7,238.8,295.4,464.8,486.2,555.4
MF,NonTidal,10,30,3.4,8,7.9,18.7,121.7,167.6,253.5,261.4,329.2
WSP1,NonTidal,11,21,0,11.2,12,25.6,189,297.6,433.3,447.3,522.6
WSP2,NonTidal,12,31,0,8.1,6.2,25,116,170.5,246.7,246.9,327.9
OJ,NonTidal,13,15,1.9,18.9,7.2,90.2,150.1,255.9,367.1,357,472.7
TL,NonTidal,14,5,12,33.4,16.6,77.3,67.3,77.3,116.6,104.7,153.6
SL,NonTidal,15,25,4.7,10.9,10.8,24.1,77,109.2,162.5,156,216.1
AC,NonTidal,16,18,4,19.6,12.2,67.6,268.4,316.2,519.1,517.5,628.6
BWK1,NonTidal,17,18,12.4,21.6,21.9,32.7,165.4,231.3,341.2,342.4,452.2
BWK2,NonTidal,18,28,2.3,10.4,7.8,28.6,109.7,177.9,266.2,255.7,355
POR1,NonTidal,19,32,0,15.8,11.7,39.8,223.6,330.7,520.2,528.7,645.3
POR2,NonTidal,20,30,3.4,14.1,12.5,41.7,114.4,192.8,271.6,264.2,381
WF2,NonTidal,21,28,1.9,19,13.1,73.1,274.5,372.4,565.9,582.6,717
WF1,NonTidal,22,20,6.5,17,13.7,52.3,255.9,422,554.1,534.6,717.8
EF,NonTidal,23,30,2.4,12.9,11.8,35.2,154.2,238.1,339.2,328.8,450.5
PL,NonTidal,24,29,10.4,15.6,15,26.3,195.4,275.8,411.7,415.1,538.7
GWP,Tidal,25,30,3.4,6.3,6.1,16.7,73.5,107.7,159.7,160.4,213.1
SWP,Tidal,26,30,4.8,7.1,5.6,21.2,78.5,121.3,179.1,175.5,240.3
PB,Tidal,27,6,4.8,25.2,13.8,76.2,213.8,292,372,383.3,403.7
GM,Tidal,28,30,3.7,5.4,4.7,12.4,77.2,111.8,167.3,174,215
BB_A,Tidal,29,37,1.1,13.9,4.2,137.1,373.1,591.6,857.2,839.5,1027.1
BB_B,Tidal,30,51,1.1,8.5,6.2,31,244.8,342.6,530.6,537.5,660.6
LSP,Tidal,31,30,0,7.6,8.2,11.1,88.7,121,184.6,187,235.5
MWC,Tidal,32,27,6.5,30.9,27.9,59,1420.9,2994.5,3982.3,4410.7,4651.8
AL,Tidal,33,30,6.5,8.4,8.5,10.2,99.2,139.8,207,206.9,268.9
NC,Tidal,34,42,0.9,18,12.7,67.7,1422.4,1990.2,2740,2903,3105.5
PTR_A,Tidal,35,24,7.1,21.5,15.8,92.8,336.2,525.8,654.9,630.7,826.9
PTR_B,Tidal,36,21,8.7,24.1,19.2,70.9,327.4,575.4,636.6,619.1,706.2
