NewPop,OrderPop,Tide,N,MLG,eMLG,Eff.SW,Eff.Simp,GD,GD.SW,GD.Simp,Eff.SW.est.5,Eff.Simp.est.5,GD.SW.est.5,GD.Simp.est.5,Eff.SW.Lower.CI.5,Eff.SW.Upper.5,Eff.Simp.Lower.CI.5,Eff.Simp.Upper.CI.5
TC,1,NonTidal,29,8,2.2,2.8,1.7,0.25,0.06,0.03,1.8,1.5,0.19,0.13,1,3.8,1,3.6
PR,2,NonTidal,21,5,2,2.1,1.5,0.2,0.06,0.03,1.6,1.4,0.15,0.1,1,2.6,1,2.3
FMC1,3,NonTidal,30,9,2.5,3.4,2,0.28,0.08,0.03,2,1.7,0.26,0.18,1,3.8,1,3.6
FMC2,4,NonTidal,15,3,2.1,2.1,1.7,0.14,0.08,0.05,1.8,1.6,0.19,0.14,1,2.9,1,2.8
SHC,5,NonTidal,14,2,1.6,1.5,1.3,0.08,0.04,0.02,1.4,1.3,0.09,0.06,1,2,1,1.9
SJR,6,NonTidal,29,10,2.7,4,2.3,0.32,0.11,0.04,2.2,1.8,0.3,0.21,1,5,1,5
HCK1,7,NonTidal,30,8,2.2,2.7,1.7,0.24,0.06,0.02,1.7,1.5,0.18,0.12,1,3.8,1,3.6
HCK2,8,NonTidal,25,9,3.2,5.2,3.3,0.33,0.17,0.09,2.8,2.4,0.45,0.35,1.6,5,1.5,5
LC,9,NonTidal,30,6,2.2,2.6,1.8,0.17,0.05,0.03,1.8,1.6,0.2,0.14,1,3.8,1,3.6
MF,10,NonTidal,30,18,3.9,10.6,5.5,0.59,0.33,0.15,3.5,3,0.62,0.51,1.6,5,1.5,5
WSP1,11,NonTidal,21,14,4.3,11,8,0.65,0.5,0.35,4.1,3.8,0.78,0.7,2.6,5,2.3,5
WSP2,12,NonTidal,31,19,4.1,11.9,6.5,0.6,0.36,0.18,3.7,3.3,0.67,0.57,1.6,5,1.5,5
OJ,13,NonTidal,15,5,2.3,2.6,1.8,0.29,0.11,0.06,1.9,1.6,0.22,0.15,1,3.8,1,3.6
TL,14,NonTidal,5,5,5,5,5,1,1,1,5,5,1,1,NA,NA,NA,NA
SL,15,NonTidal,25,25,5,25,25,1,1,1,5,5,1,1,NA,NA,NA,NA
AC,16,NonTidal,18,10,3.7,6.6,4.3,0.53,0.33,0.19,3.3,2.9,0.58,0.48,1.6,5,1.5,5
BWK1,17,NonTidal,18,6,3,3.9,3.1,0.29,0.17,0.12,2.6,2.4,0.41,0.34,1.6,3.8,1.5,3.6
BWK2,18,NonTidal,28,10,2.6,3.8,2.1,0.33,0.1,0.04,2.1,1.8,0.27,0.19,1,3.8,1,3.6
POR1,19,NonTidal,32,12,2.9,4.7,2.5,0.35,0.12,0.05,2.3,2,0.33,0.24,1,5,1,5
POR2,20,NonTidal,30,7,2.1,2.6,1.7,0.21,0.05,0.02,1.7,1.5,0.18,0.12,1,3.8,1,3.6
WF2,21,NonTidal,28,13,3.6,7.4,4.7,0.44,0.24,0.14,3.3,2.9,0.56,0.47,1.6,5,1.5,5
WF1,22,NonTidal,20,11,3.9,7.8,5.7,0.53,0.36,0.25,3.6,3.3,0.66,0.57,2,5,1.9,5
EF,23,NonTidal,30,22,4.6,17.5,12.9,0.72,0.57,0.41,4.4,4.2,0.86,0.8,2.6,5,2.3,5
BB_B,30,Tidal,51,41,4.8,34.7,25.3,0.8,0.67,0.49,4.7,4.6,0.94,0.91,3.8,5,3.6,5
PL,24,NonTidal,29,1,1,1,1,0,0,0,1,1,0,0,NA,NA,NA,NA
GWP,25,Tidal,30,28,5,27.4,26.5,0.93,0.91,0.88,4.9,4.9,0.99,0.98,3.8,5,3.6,5
SWP,26,Tidal,30,29,5,28.6,28.1,0.97,0.95,0.94,5,4.9,0.99,0.99,3.8,5,3.6,5
PB,27,Tidal,6,5,4.3,4.8,4.5,0.8,0.75,0.7,4.2,3.9,0.79,0.74,3.8,5,3.6,5
GM,28,Tidal,30,17,4.5,14.1,11.8,0.55,0.45,0.37,4.4,4.1,0.84,0.78,2.6,5,2.3,5
BB_A,29,Tidal,37,36,5,35.6,35.1,0.97,0.96,0.95,5,5,0.99,0.99,NA,NA,NA,NA
LSP,31,Tidal,30,25,4.9,23.4,21.4,0.83,0.77,0.7,4.8,4.7,0.96,0.94,3.8,5,3.6,5
MWC,32,Tidal,27,25,4.9,23.9,22.1,0.92,0.88,0.81,4.9,4.9,0.97,0.96,3.8,5,3.6,5
AL,33,Tidal,30,30,5,30,30,1,1,1,5,5,1,1,NA,NA,NA,NA
NC,34,Tidal,42,41,5,40.6,40.1,0.98,0.97,0.95,5,5,1,0.99,NA,NA,NA,NA
PTR_B,36,Tidal,21,21,5,21,21,1,1,1,5,5,1,1,NA,NA,NA,NA
PTR_A,35,Tidal,24,24,5,24,24,1,1,1,5,5,1,1,NA,NA,NA,NA
